"date"	"subject"	"bristol_min"	"bristol_max"	"bristol_mean"
2024-08-31	"culi"	3	4	3.5
2024-08-31	"warble"	1	1	1
2024-09-01	"culi"	5	6	5.5
2024-09-01	"warble"	1	1	1
2024-09-02	"culi"	5	5	5
2024-09-02	"warble"	1	1	1
2024-09-03	"culi"	3	5	4
2024-09-03	"warble"	1	1	1
2024-09-04	"culi"	3	4	3.5
2024-09-04	"warble"	1	1	1
2024-09-05	"culi"	6	6	6
2024-09-05	"warble"	1	1	1
2024-09-06	"culi"	3	4	3.5
2024-09-06	"warble"	1	1	1
2024-09-07	"culi"	NA	NA	NA
2024-09-07	"warble"	1	1	1
2024-09-08	"culi"	3	6	4.5
2024-09-08	"warble"	1	1	1
2024-09-09	"culi"	NA	NA	NA
2024-09-09	"warble"	1	1	1
2024-09-10	"culi"	NA	NA	NA
2024-09-10	"warble"	1	1	1
2024-09-11	"culi"	3	6	4.5
2024-09-11	"warble"	1	1	1
2024-09-12	"culi"	3	3	3
2024-09-12	"warble"	1	1	1
2024-09-13	"culi"	3	6	4.5
2024-09-13	"warble"	1	1	1
2024-09-14	"culi"	NA	NA	NA
2024-09-14	"warble"	1	1	1
2024-09-15	"culi"	3	3	3
2024-09-15	"warble"	1	1	1
2024-09-16	"culi"	2	6	4
2024-09-16	"warble"	1	1	1
2024-09-17	"culi"	NA	NA	NA
2024-09-17	"warble"	1	1	1
2024-09-18	"culi"	3	3	3
2024-09-18	"warble"	1	1	1
2024-09-19	"culi"	4	6	5
2024-09-19	"warble"	1	1	1
2024-09-20	"culi"	3	4	3.5
2024-09-20	"warble"	1	1	1
2024-09-21	"culi"	3	3	3
2024-09-21	"warble"	1	1	1
2024-09-22	"culi"	3	6	4.5
2024-09-22	"warble"	1	1	1
2024-09-23	"culi"	3	4	3.5
2024-09-23	"warble"	1	1	1
2024-09-24	"culi"	3	4	3.5
2024-09-24	"warble"	1	1	1
2024-09-25	"culi"	3	3	3
2024-09-25	"warble"	1	1	1
2024-09-26	"culi"	5	5	5
2024-09-26	"warble"	1	1	1
2024-09-27	"culi"	3	4	3.5
2024-09-27	"warble"	1	1	1
2024-09-28	"culi"	3	4	3.5
2024-09-28	"warble"	1	1	1
2024-09-29	"culi"	2	4	3
2024-09-29	"warble"	1	1	1
2024-09-30	"culi"	3	6	4.5
2024-09-30	"warble"	1	1	1
2024-10-01	"culi"	NA	NA	NA
2024-10-01	"warble"	1	1	1
2024-10-02	"culi"	4	6	5
2024-10-02	"warble"	1	1	1
2024-10-03	"culi"	6	6	6
2024-10-03	"warble"	1	1	1
2024-10-04	"culi"	4	5	4.5
2024-10-04	"warble"	1	1	1
2024-10-05	"culi"	4	5	4.5
2024-10-05	"warble"	1	1	1
2024-10-06	"culi"	6	6	6
2024-10-06	"warble"	1	1	1
2024-10-07	"culi"	4	6	5
2024-10-07	"warble"	1	1	1
2024-10-08	"culi"	NA	NA	NA
2024-10-08	"warble"	1	1	1
2024-10-09	"culi"	NA	NA	NA
2024-10-09	"warble"	1	1	1
2024-10-10	"culi"	NA	NA	NA
2024-10-10	"warble"	1	1	1
2024-10-11	"culi"	3	4	3.5
2024-10-11	"warble"	1	1	1
2024-10-12	"culi"	4	5	4.5
2024-10-12	"warble"	1	1	1
2024-10-13	"culi"	3	4	3.5
2024-10-13	"warble"	1	1	1
2024-10-14	"culi"	6	6	6
2024-10-14	"warble"	1	1	1
2024-10-15	"culi"	NA	NA	NA
2024-10-15	"warble"	1	1	1
2024-10-16	"culi"	4	4	4
2024-10-16	"warble"	1	1	1
2024-10-17	"culi"	NA	NA	NA
2024-10-17	"warble"	1	1	1
2024-10-18	"culi"	4	4	4
2024-10-18	"warble"	1	1	1
2024-10-19	"culi"	4	4	4
2024-10-19	"warble"	1	1	1
2024-10-20	"culi"	5	6	5.5
2024-10-20	"warble"	1	1	1
2024-10-21	"culi"	4	6	5
2024-10-21	"warble"	1	1	1
2024-10-22	"culi"	4	4	4
2024-10-22	"warble"	1	1	1
2024-10-23	"culi"	4	5	4.5
2024-10-23	"warble"	1	1	1
2024-10-24	"culi"	6	6	6
2024-10-24	"warble"	1	1	1
2024-10-25	"culi"	6	6	6
2024-10-25	"warble"	1	1	1
2024-10-26	"culi"	NA	NA	NA
2024-10-26	"warble"	1	1	1
2024-10-27	"culi"	4	6	5
2024-10-27	"warble"	1	1	1
2024-10-28	"culi"	4	6	5
2024-10-28	"warble"	1	1	1
2024-10-29	"culi"	5	5	5
2024-10-29	"warble"	1	1	1
2024-10-30	"culi"	3	3	3
2024-10-30	"warble"	1	1	1
2024-10-31	"culi"	6	6	6
2024-10-31	"warble"	1	1	1
