seqrun	barcode	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start
hdz6	barcode16	11182	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode17	19819	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode18	3979	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode19	17019	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode20	10268	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode21	12928	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode22	16582	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode23	16382	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz6	barcode24	28	AVI490	HDZ-PL-006	PL006	2024-07-18	2024-07-18 20:35:26.690098
hdz7	barcode01	12014	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode02	12808	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode03	13623	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode04	12647	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode05	7088	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode06	8170	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode07	9272	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode08	12575	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode09	13147	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode10	8759	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode11	15273	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode12	15232	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode13	13075	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode14	10730	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode15	9326	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
hdz7	barcode16	9746	AVH171	HDZ-PL-007	PL007	2024-07-22	2024-07-22 23:13:57.01656
