task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
148	9e/e0618c	4111419	minimap_pipeline:getAlignmentStats (hdz-344-s316)	COMPLETED	0	2024-10-12 16:42:20.025	2.9s	2.6s	187.3%	697.6 MB	1.9 GB	412.4 MB	8.9 MB
152	42/d7fe93	4111911	minimap_pipeline:filter_references	COMPLETED	0	2024-10-12 16:42:22.941	1.1s	616ms	68.0%	8.1 MB	1.3 GB	76.6 MB	1.8 MB
153	57/7495d2	4112278	minimap_pipeline:output_results (75)	COMPLETED	0	2024-10-12 16:42:24.119	534ms	20ms	52.6%	0	0	71.2 KB	255 B
155	10/ec9f5f	4112317	minimap_pipeline:output_results (76)	COMPLETED	0	2024-10-12 16:42:24.227	534ms	20ms	26.5%	0	0	71.2 KB	255 B
156	d8/64fa76	4112350	minimap_pipeline:output_results (77)	COMPLETED	0	2024-10-12 16:42:24.270	511ms	19ms	55.8%	0	0	71.2 KB	255 B
157	c7/0d9f77	4112393	minimap_pipeline:output_results (78)	COMPLETED	0	2024-10-12 16:42:24.319	551ms	21ms	50.7%	0	0	71.2 KB	255 B
158	56/8fa4c2	4112441	minimap_pipeline:configure_igv (1)	COMPLETED	0	2024-10-12 16:42:24.364	1.6s	1.1s	17.1%	15.7 MB	27.8 MB	1.2 MB	8.4 KB
159	e1/13668f	4113367	minimap_pipeline:output_results (79)	COMPLETED	0	2024-10-12 16:42:25.975	392ms	6ms	0.0%	0	0	71.2 KB	253 B
154	4b/bba0ec	4112288	minimap_pipeline:makeReport (1)	COMPLETED	0	2024-10-12 16:42:24.180	2m 7s	2m 5s	99.0%	596.3 MB	4.6 GB	95.4 MB	17.9 MB
160	71/7f6361	4115345	minimap_pipeline:output_results (80)	COMPLETED	0	2024-10-12 16:44:31.229	846ms	22ms	50.3%	0	0	71.2 KB	255 B
